"filename", "language", "TypeScript", "JSON", "JSON with Comments", "C++", "Ruby", "Swift", "Go", "XML", "CoffeeScript", "JavaScript", "C", "Groovy", "Visual Basic", "Python", "YAML", "PHP", "Perl", "Makefile", "XSL", "Shell Script", "Markdown", "Ignore", "HTML", "comment", "blank", "total"
"/Users/alexgo/code/vs-boost/.boost/output/html/src/controllers/quick_blueprint_controller.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1081, 0, 55, 1136
"/Users/alexgo/code/vs-boost/.boost/output/html/src/controllers/quick_compliance_summary_controller.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 452, 0, 20, 472
"/Users/alexgo/code/vs-boost/.boost/output/html/src/controllers/quick_performance_summary_controller.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 444, 0, 20, 464
"/Users/alexgo/code/vs-boost/.boost/output/html/src/controllers/quick_security_summary_controller.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 385, 0, 20, 405
"/Users/alexgo/code/vs-boost/.boost/output/html/src/controllers/quick_summary_controller.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1654, 0, 104, 1758
"/Users/alexgo/code/vs-boost/.boost/output/html/src/controllers/summary_controller.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1162, 0, 66, 1228
"/Users/alexgo/code/vs-boost/.boost/output/html/src/controllers/testgen_controller.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 621, 0, 33, 654
"/Users/alexgo/code/vs-boost/.boost/output/html/src/controllers/user_organizations.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 758, 0, 26, 784
"/Users/alexgo/code/vs-boost/.boost/output/html/src/dashboard/chat/main.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 632, 0, 31, 663
"/Users/alexgo/code/vs-boost/.boost/output/html/src/dashboard/chat_view.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1329, 0, 65, 1394
